temperature,log_mass,stage,mass,replicate,experiment
10,-3.2876682489244664,clutch1,0.037340817454140265,2,acclimated
10,-3.36481317415888,clutch2,0.03456847379894821,2,acclimated
10,NA,clutch3,NA,2,acclimated
10,NA,clutch4,NA,2,acclimated
10,NA,clutch5,NA,2,acclimated
10,NA,clutch6,NA,2,acclimated
10,-3.9635539347237034,clutch1,0.018995485473173698,2,acclimated
10,NA,clutch2,NA,2,acclimated
10,-3.858111234312751,clutch3,0.021107829640678335,2,acclimated
10,-3.8169753618310818,clutch4,0.021994224961551786,2,acclimated
10,-3.6477948994209055,clutch5,0.026048505068872786,2,acclimated
10,NA,clutch6,NA,2,acclimated
10,-3.8534807281585883,clutch1,0.02120579621810384,3,acclimated
10,-3.390808570591288,clutch2,0.03368143207092814,3,acclimated
10,-3.315398498661981,clutch3,0.036319572392159355,3,acclimated
10,-3.1983556013533714,clutch4,0.04082928843309849,3,acclimated
10,-2.924758110331154,clutch5,0.05367767441738919,3,acclimated
10,-2.8091594464969805,clutch6,0.06025561918391093,3,acclimated
10,-3.7293483085251773,clutch1,0.024008476859287756,4,acclimated
10,-3.5771826917256253,clutch2,0.0279543434224169,4,acclimated
10,-3.4620244317737585,clutch3,0.03136619897073119,4,acclimated
10,-3.0639311518666084,clutch4,0.0467037343952833,4,acclimated
10,-3.031880259164052,clutch5,0.048224877558148374,4,acclimated
10,-2.814046413103037,clutch6,0.059961870340146675,4,acclimated
10,-3.4922028952873814,clutch1,0.030433755895855376,5,acclimated
10,-4.025095494524265,clutch2,0.017861718375570285,5,acclimated
10,NA,clutch3,NA,5,acclimated
10,NA,clutch4,NA,5,acclimated
10,NA,clutch5,NA,5,acclimated
10,NA,clutch6,NA,5,acclimated
10,-3.6143062198476192,clutch1,0.026935606125179222,6,acclimated
10,-3.167467074356416,clutch2,0.04211012474903364,6,acclimated
10,-2.8208611870684908,clutch3,0.05955463293869965,6,acclimated
10,NA,clutch4,NA,6,acclimated
10,NA,clutch5,NA,6,acclimated
10,NA,clutch6,NA,6,acclimated
10,NA,clutch1,NA,7,acclimated
10,NA,clutch2,NA,7,acclimated
10,-2.79819529192129,clutch3,0.060919906124416674,7,acclimated
10,-2.6890450801053323,clutch4,0.06794579119045414,7,acclimated
10,-2.6922474112497436,clutch5,0.06772855428509282,7,acclimated
10,-2.647264300191944,clutch6,0.0708447581904169,7,acclimated
10,-3.7569406220900823,clutch1,0.02335508321256484,8,acclimated
10,-3.1283578187667858,clutch2,0.043789648779424026,8,acclimated
10,-3.1379119318033206,clutch3,0.04337326975855986,8,acclimated
10,-3.0115753257707834,clutch4,0.049214089438900335,8,acclimated
10,-2.9607409663047877,clutch5,0.051780535322735105,8,acclimated
10,-2.9452037321733937,clutch6,0.0525913441758999,8,acclimated
16,-3.6895503628863966,clutch1,0.024983232905912676,1,acclimated
16,-3.497987943068297,clutch2,0.03025820344310636,1,acclimated
16,-3.281757572187295,clutch3,0.037562180513493,1,acclimated
16,NA,clutch4,NA,1,acclimated
16,NA,clutch5,NA,1,acclimated
16,NA,clutch6,NA,1,acclimated
16,-3.3054262028974075,clutch1,0.03668357385868172,2,acclimated
16,-3.1017339947107194,clutch2,0.04497115500132357,2,acclimated
16,-3.103795099097922,clutch3,0.04487856021299473,2,acclimated
16,-3.111972577559148,clutch4,0.04451306321217299,2,acclimated
16,-2.765523175029167,clutch5,0.06294316044255957,2,acclimated
16,-2.8733687360233082,clutch6,0.05650824422298476,2,acclimated
16,-3.710917321228296,clutch1,0.02445507981544268,3,acclimated
16,-3.4660466301025146,clutch2,0.031240291280248147,3,acclimated
16,-3.32576667915589,clutch3,0.03594494994268322,3,acclimated
16,-3.108262008740753,clutch4,0.04467853881097784,3,acclimated
16,-3.407089212753042,clutch5,0.03313751639027387,3,acclimated
16,-3.391586256367697,clutch6,0.03365524868282138,3,acclimated
16,-3.498303060614983,clutch1,0.030248670054418152,4,acclimated
16,NA,clutch2,NA,4,acclimated
16,NA,clutch3,NA,4,acclimated
16,NA,clutch4,NA,4,acclimated
16,NA,clutch5,NA,4,acclimated
16,NA,clutch6,NA,4,acclimated
16,-3.658483673347448,clutch1,0.025771561218897204,5,acclimated
16,-3.5768401293565124,clutch2,0.027963921168920793,5,acclimated
16,-3.3654956091320702,clutch3,0.034544891111198676,5,acclimated
16,-3.235640928153155,clutch4,0.03933498595928679,5,acclimated
16,-3.1349331094762616,clutch5,0.04350266364793745,5,acclimated
16,-2.993184188741856,clutch6,0.05012756669696688,5,acclimated
16,-3.7718924747692486,clutch1,0.02300847909307718,6,acclimated
16,-3.5266023255412455,clutch2,0.029404653773717745,6,acclimated
16,-3.4141094911009553,clutch3,0.032905696473715586,6,acclimated
16,-3.283028948499581,clutch4,0.037514455191800675,6,acclimated
16,-3.0752263261278827,clutch5,0.04617917564484848,6,acclimated
16,-2.907217867559928,clutch6,0.05462749958829025,6,acclimated
16,-3.5296947713166724,clutch1,0.029313861933154415,7,acclimated
16,-3.3064192021860634,clutch2,0.03664716517582451,7,acclimated
16,-3.3044486287771564,clutch3,0.0367194523051874,7,acclimated
16,-3.1338098509464287,clutch4,0.04355155584009574,7,acclimated
16,-2.9674151292444297,clutch5,0.05143609429922337,7,acclimated
16,-3.3537917243262183,clutch6,0.03495157579038743,7,acclimated
16,-3.6631443968343116,clutch1,0.02565172657322898,8,acclimated
16,-3.455058091131896,clutch2,0.03158546946712311,8,acclimated
16,-3.2374471069154143,clutch3,0.03926400406532496,8,acclimated
16,-3.0834612496177076,clutch4,0.04580045517385029,8,acclimated
16,-3.3599192298620095,clutch5,0.034738064629702914,8,acclimated
16,-3.3109590422803183,clutch6,0.03648116998692422,8,acclimated
20,-3.8817969089970763,clutch1,0.020613750847724363,1,acclimated
20,-3.605975195018167,clutch2,0.02716094467581599,1,acclimated
20,-3.475363683500623,clutch3,0.030950575562412302,1,acclimated
20,-3.409715580172784,clutch4,0.03305059928494354,1,acclimated
20,-3.367723034209624,clutch5,0.034468030586744185,1,acclimated
20,-3.4151064862782103,clutch6,0.03287290600171443,1,acclimated
20,-3.3897644363968062,clutch1,0.033716618372286004,2,acclimated
20,-3.036374503676862,clutch2,0.048008629466686645,2,acclimated
20,-2.9575859980569192,clutch3,0.05194415924595352,2,acclimated
20,-2.923447202779383,clutch4,0.05374808702827259,2,acclimated
20,-2.8517558455634817,clutch5,0.05774284429532971,2,acclimated
20,-2.758631584316125,clutch6,0.06337843709402757,2,acclimated
20,-3.3557767752656043,clutch1,0.03488226394855992,3,acclimated
20,-3.3395633383770837,clutch2,0.035452435060002487,3,acclimated
20,-3.205686614508268,clutch3,0.04053106286591407,3,acclimated
20,-3.0746154957573246,clutch4,0.046207391904616583,3,acclimated
20,-3.067974472536604,clutch5,0.04651527747326898,3,acclimated
20,-2.976947927615806,clutch6,0.05094809408264138,3,acclimated
20,-3.3501347084344117,clutch1,0.035079628260744164,4,acclimated
20,-3.094283341124767,clutch2,0.04530747082916067,4,acclimated
20,-2.9775213725298197,clutch3,0.0509188865324719,4,acclimated
20,-2.9553029641772954,clutch4,0.052062884997247934,4,acclimated
20,-2.700840928616846,clutch5,0.06714902145677436,4,acclimated
20,-2.6402912697787366,clutch6,0.0713404872019748,4,acclimated
20,-3.507086554157192,clutch1,0.02998414448631582,5,acclimated
20,-3.570245109541233,clutch2,0.028148953257635775,5,acclimated
20,-3.3798589973306306,clutch3,0.0340522558550796,5,acclimated
20,-3.4361922311860735,clutch4,0.032187012986599164,5,acclimated
20,-3.4559491869329584,clutch5,0.031557336324430627,5,acclimated
20,-3.0392250006202923,clutch6,0.04787197587298878,5,acclimated
20,-3.3767049801815223,clutch1,0.034159826805148244,6,acclimated
20,-3.3573427295383826,clutch2,0.03482768266533608,6,acclimated
20,-3.2971906157162088,clutch3,0.03698693208125602,6,acclimated
20,-3.3055536383141115,clutch4,0.03667889937001488,6,acclimated
20,-3.194628205833949,clutch5,0.04098175932299196,6,acclimated
20,-3.042357678124519,clutch6,0.04772224306583922,6,acclimated
20,-3.5447750860624954,clutch1,0.02887511619547691,7,acclimated
20,-3.382625560307785,clutch2,0.0339581783404316,7,acclimated
20,-3.253886535904826,clutch3,0.038623802947119104,7,acclimated
20,-3.2449513525348284,clutch4,0.0389704601252744,7,acclimated
20,-3.194871572561759,clutch5,0.04097178693984797,7,acclimated
20,-3.077299946161409,clutch6,0.046083516795429845,7,acclimated
20,-3.43436028608171,clutch1,0.03224603187063616,8,acclimated
20,-3.3054238859463405,clutch2,0.03668365885282578,8,acclimated
20,-3.288702990497684,clutch3,0.037302199341271644,8,acclimated
20,-3.2611479581601035,clutch4,0.03834435502738618,8,acclimated
20,-3.041669368450751,clutch5,0.047755102054678,8,acclimated
20,-3.05947146971237,clutch6,0.04691248333708771,8,acclimated
24,-4.122840093331811,clutch1,0.016198443958009446,1,acclimated
24,-3.806419033360309,clutch2,0.022227633023287282,1,acclimated
24,-3.572321667346525,clutch3,0.028090560977493115,1,acclimated
24,-3.5063043460092933,clutch4,0.030007607503726167,1,acclimated
24,-3.463988659072496,clutch5,0.03130464909521735,1,acclimated
24,-3.449240828093938,clutch6,0.03176974592383319,1,acclimated
24,-3.7230693582210956,clutch1,0.024159699154170475,2,acclimated
24,-3.4845461925014445,clutch2,0.030667672491553846,2,acclimated
24,-3.301594408434267,clutch3,0.03682440742420248,2,acclimated
24,-3.3351138602403188,clutch4,0.03561053135687471,2,acclimated
24,-3.2821055036815743,clutch5,0.037549113721204654,2,acclimated
24,-3.115912712937888,clutch6,0.04433802078887322,2,acclimated
24,-3.7526760277946307,clutch1,0.023454895846124434,3,acclimated
24,-3.54132704979508,clutch2,0.028974850488262725,3,acclimated
24,-3.3395117075551046,clutch3,0.03545426554562014,3,acclimated
24,-3.1157001956181736,clutch4,0.04434744438751621,3,acclimated
24,-3.008529440419638,clutch5,0.04936421843477947,3,acclimated
24,-2.948103981940241,clutch6,0.052439037113237295,3,acclimated
24,-3.7423085241384038,clutch1,0.023699329458338712,4,acclimated
24,-3.511283916043696,clutch2,0.029858553939922088,4,acclimated
24,-3.3537988027319807,clutch3,0.03495132838982756,4,acclimated
24,-3.299322250585265,clutch4,0.036908173419309624,4,acclimated
24,-3.4541525925781986,clutch5,0.0316140830168523,4,acclimated
24,-3.1998248647379377,clutch6,0.04076934350281519,4,acclimated
24,-3.580563208951602,clutch1,0.02786000283277361,5,acclimated
24,-3.304227450353048,clutch2,0.03672757475400448,5,acclimated
24,-3.2996459000725746,clutch3,0.036896230040743355,5,acclimated
24,NA,clutch4,NA,5,acclimated
24,NA,clutch5,NA,5,acclimated
24,NA,clutch6,NA,5,acclimated
24,-3.806970126066943,clutch1,0.02221538691152378,6,acclimated
24,-3.3443929018918253,clutch2,0.035281628066740775,6,acclimated
24,-3.3534602400861035,clutch3,0.03496316360741238,6,acclimated
24,-3.3688605819668505,clutch4,0.03442884384847302,6,acclimated
24,-3.3081790074194726,clutch5,0.03658273001605336,6,acclimated
24,-3.18483314252546,clutch6,0.04138515064661215,6,acclimated
24,-3.653671314314673,clutch1,0.0258958821228033,7,acclimated
24,-3.2844836796648456,clutch2,0.037459921420290955,7,acclimated
24,-3.1756013374447645,clutch3,0.041768979280163314,7,acclimated
24,-3.0802446909095225,clutch4,0.045948012212495594,7,acclimated
24,-3.060238353564062,clutch5,0.04687652070251809,7,acclimated
24,-2.877764549893009,clutch6,0.05626038965965189,7,acclimated
24,-3.555493509172444,clutch1,0.02856727322554203,8,acclimated
24,-3.3590928232821202,clutch2,0.034766784260296876,8,acclimated
24,-3.195801905415888,clutch3,0.04093368726580271,8,acclimated
24,-3.0882923247312766,clutch4,0.04557972334999041,8,acclimated
24,-3.019155399441064,clutch5,0.04884245330939684,8,acclimated
24,-3.0080021038756275,clutch6,0.049390256856028776,8,acclimated
27,-4.023844626334196,clutch1,0.017884075010593005,1,acclimated
27,-3.5524522986804623,clutch2,0.02865428455942993,1,acclimated
27,-3.3411913966191764,clutch3,0.03539476339005817,1,acclimated
27,-3.2874749269425716,clutch4,0.03734803695279749,1,acclimated
27,-3.1114351018757107,clutch5,0.044536994331866184,1,acclimated
27,-3.0452933872610184,clutch6,0.04758234988417349,1,acclimated
27,-4.023844626334196,clutch1,0.017884075010593005,2,acclimated
27,-3.7201107588688362,clutch2,0.02423128386746505,2,acclimated
27,-3.4939880751875023,clutch3,0.0303794746318712,2,acclimated
27,-3.447935161991335,clutch4,0.031811253695923004,2,acclimated
27,-3.280221705789182,clutch5,0.03761991532951635,2,acclimated
27,-3.195811910763357,clutch6,0.04093327771208728,2,acclimated
27,-3.9923275984440907,clutch1,0.018456704288244273,3,acclimated
27,-3.8068414343034638,clutch2,0.02221824603281053,3,acclimated
27,-3.572777651684617,clutch3,0.02807775504151417,3,acclimated
27,-3.592538013294665,clutch4,0.027528374306054176,3,acclimated
27,-3.5377722237899376,clutch5,0.029078034331919543,3,acclimated
27,-4.002913301398205,clutch1,0.018262357562316648,4,acclimated
27,-3.759478754836945,clutch2,0.023295880075550505,4,acclimated
27,NA,clutch3,NA,4,acclimated
27,-3.417758912107735,clutch4,0.0327858285909824,4,acclimated
27,-3.3866165749219954,clutch5,0.03382292084126488,4,acclimated
27,-3.246423925998832,clutch6,0.03891311549226887,4,acclimated
27,NA,clutch1,NA,5,acclimated
27,-3.5943828002419353,clutch2,0.02747763713447996,5,acclimated
27,-3.579752674498969,clutch3,0.027882593478931763,5,acclimated
27,-3.3912954949190524,clutch4,0.0336650357544655,5,acclimated
27,-3.3221234829849577,clutch5,0.03607614328310709,5,acclimated
27,-3.327726245315132,clutch6,0.03587458240262202,5,acclimated
27,-3.8589470086075948,clutch1,0.021090195629297908,6,acclimated
27,-3.7516660915725795,clutch2,0.02347859576071053,6,acclimated
27,-3.467957182716375,clutch3,0.031180662040622982,6,acclimated
27,-3.3024031404531424,clutch4,0.03679463838605211,6,acclimated
27,-3.3024031404531424,clutch5,0.03679463838605211,6,acclimated
27,-3.025499271202955,clutch6,0.048533583799210675,6,acclimated
27,-4.169811576289794,clutch1,0.015455171970414985,7,acclimated
27,-4.031772684914446,clutch2,0.017742849577723655,7,acclimated
27,NA,clutch3,NA,7,acclimated
27,-3.794099652016414,clutch4,0.022503157371007776,7,acclimated
27,-3.7708683175100712,clutch5,0.02303205546485837,7,acclimated
27,-3.671357585802497,clutch6,0.025441906919229748,7,acclimated
27,-4.234196974127649,clutch1,0.014491442529881958,8,acclimated
27,-4.090339176205556,clutch2,0.01673355697159435,8,acclimated
27,-3.9197607790036244,clutch3,0.019845841718589528,8,acclimated
27,-3.6673513508971123,clutch4,0.025544037617975156,8,acclimated
27,-3.339347434333925,clutch5,0.03546009021043099,8,acclimated
27,-3.2344799771027644,clutch6,0.039380678470805876,8,acclimated
